,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
127,"she's all i wanna be","Tate McRae",278867,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
128,"Ain't Shit","Doja Cat",278112,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
129,"Whiskey On You","Nate Smith",277771,https://open.spotify.com/track/6Tm4Io4ct4w14nB1EUzsY3
130,"Something In The Way - Remastered",Nirvana,275877,https://open.spotify.com/track/2WL6GQzPuK9Nrpy9XwNEbz
131,"Honest (feat. Don Toliver)","Justin Bieber",275484,https://open.spotify.com/track/2KdKh9vHbKW0tZLqtpxxI0
132,"The Motto",Tiësto,274876,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
133,Notion,"The Rare Occasions",274592,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
134,"Me and Your Mama","Childish Gambino",274339,https://open.spotify.com/track/31tf1qEai5o5f4r66Kd0pU
135,"You Right","Doja Cat",273750,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
136,"Sweetest Pie","Megan Thee Stallion",273045,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh
137,"Space Song","Beach House",272970,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
138,"Pursuit Of Happiness (Nightmare)","Kid Cudi",272229,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
139,"LOVE. FEAT. ZACARI.","Kendrick Lamar",270484,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
140,"LOVE YOU BETTER",Future,266912,https://open.spotify.com/track/4XJRpBOG0bU3Nxnvam3FnC
141,"Get Into It (Yuh)","Doja Cat",266851,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
142,"EA (feat. 21 Savage)","Young Nudy",266696,https://open.spotify.com/track/68MTDH8Kk4jBEV1ah0n89s
143,"favorite crime","Olivia Rodrigo",266353,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
144,Yonaguni,"Bad Bunny",265709,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
145,"pushin P (feat. Young Thug)",Gunna,265523,https://open.spotify.com/track/3XOalgusokruzA5ZBA2Qcb
146,"Good Boy Gone Bad","TOMORROW X TOGETHER",264779,https://open.spotify.com/track/1HsSIPLTQT354yJcQGfEY3
147,Freaks,"Surf Curse",264385,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
148,"Father Stretch My Hands Pt. 1","Kanye West",264190,https://open.spotify.com/track/4KW1lqgSr8TKrvBII0Brf8
149,"Jugaste y Sufrí","Eslabon Armado",263065,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
150,DNA.,"Kendrick Lamar",262711,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
151,Iris,"The Goo Goo Dolls",261896,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs
152,"IDGAF (with blackbear)",BoyWithUke,260666,https://open.spotify.com/track/4ZUpTMKPYFTfJqamWFU9Zv
153,"Save Your Tears","The Weeknd",259675,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
154,"SI SUPIERAS","Eslabon Armado",259516,https://open.spotify.com/track/7KDYKPhxFFRDBSbgcfLxUT
155,"Lucid Dreams","Juice WRLD",259127,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
156,"Bad Habits","Ed Sheeran",258835,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
157,"House of Memories","Panic! At The Disco",258794,https://open.spotify.com/track/2DgdHcjWmO3qd50RzuBLgZ
158,Softcore,"The Neighbourhood",258750,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
159,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",258660,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
160,"Dreams - 2004 Remaster","Fleetwood Mac",257891,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
161,"What Happened To Virgil (feat. Gunna)","Lil Durk",257156,https://open.spotify.com/track/7ohROa13QK43JBRqfCmz4P
162,"Hold That Heat (feat. Travis Scott)",Southside,256537,https://open.spotify.com/track/6OrTKLtcF7EBayOV2QqkSK
163,Redbone,"Childish Gambino",255697,https://open.spotify.com/track/0wXuerDYiBnERgIpbb3JBR
164,Alright,"Kendrick Lamar",255585,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
165,Pepas,Farruko,255422,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
166,Passionfruit,Drake,255256,https://open.spotify.com/track/5mCPDVBb16L4XQwDdbRUpz
167,Sunroof,"Nicky Youre",253959,https://open.spotify.com/track/4h4QlmocP3IuwYEj2j14p8
168,"I'M DAT N****",Future,253593,https://open.spotify.com/track/0AAVJIN4plafvmNKqRCltG
169,PRIDE.,"Kendrick Lamar",253152,https://open.spotify.com/track/6IZvVAP7VPPnsGX6bvgkqg
170,"Daddy Issues","The Neighbourhood",253015,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
171,"Love Sosa","Chief Keef",252342,https://open.spotify.com/track/01Lr5YepbgjXAWR9iOEyH1
172,"Way 2 Sexy (with Future & Young Thug)",Drake,250954,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
173,"Buy Dirt","Jordan Davis",250127,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
174,"SLOW DANCING IN THE DARK",Joji,249778,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
175,"Martin & Gina","Polo G",249076,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
176,"Work Out","J. Cole",248966,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
177,"Cover Me Up","Morgan Wallen",247875,https://open.spotify.com/track/0mKnuxVkPi5h0kuvZl44VM
178,2055,"Sleepy Hallow",247499,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
179,"More Than My Hometown","Morgan Wallen",247486,https://open.spotify.com/track/5OELUCYgOHKFAvCERnAvfS
180,"Ni**as In Paris",JAY-Z,246850,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
181,YKWIM?,"Yot Club",246452,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH
